remedy_id,name,conditions,skin_types,severity_levels,ingredients,instructions,cautions,excluded_conditions,source_title,source_url,confidence_rating,language,created_by,application_area
r_witch_hazel_aloe_toner,Witch Hazel & Aloe Vera Toner,acne;inflammation;irritation,oily;sensitive,mild;moderate,witch_hazel;aloe_vera;essential_oil,Mix 4 tablespoons of alcohol-free witch hazel with 2 tablespoons of aloe vera gel and a few drops of your preferred essential oil. Combine thoroughly and transfer to a spray bottle. Apply to the face using a cotton pad or by spraying directly.,Perform a patch test before use. Avoid contact with eyes. Ensure essential oils are properly diluted.,,13 Ways to Make a DIY Toner to Fit Your Skin Care Needs,https://www.healthline.com/health/beauty-skin-care/diy-toner,4.5,en,scraped,face
r_rose_aloe_toner,Rose Water & Aloe Vera Toner,dryness;redness;sensitivity,dry;sensitive,mild,rose_water;aloe_vera,"Combine 1/2 cup of rose water with 1/2 cup of aloe vera gel. Mix thoroughly and apply to clean, dry skin using a cotton pad or spray bottle.",Perform a patch test before use. Store in the refrigerator and discard after 2 to 3 days.,,13 Ways to Make a DIY Toner to Fit Your Skin Care Needs,https://www.healthline.com/health/beauty-skin-care/diy-toner,4.5,en,scraped,face
r_witch_hazel_lavender_toner,Witch Hazel & Lavender Essential Oil Toner,acne;scarring;inflammation,oily;combination,mild;moderate,witch_hazel;vitamin_e_oil;lavender_essential_oil,Mix 1 tablespoon of witch hazel with 1/2 teaspoon of vitamin E oil and 3 drops of lavender essential oil. Combine thoroughly and apply to the face using a cotton pad.,Perform a patch test before use. Essential oils should be properly diluted to avoid skin irritation.,,13 Ways to Make a DIY Toner to Fit Your Skin Care Needs,https://www.healthline.com/health/beauty-skin-care/diy-toner,4.5,en,scraped,face
r_rose_witch_hazel_toner,Rose Water & Witch Hazel Toner,pH_imbalance;dryness,all,mild,rose_water;witch_hazel,Combine 1 tablespoon of rose water with 1 tablespoon of alcohol-free witch hazel. Mix well and mist over your entire face.,Perform a patch test before use. Avoid contact with eyes.,,13 Ways to Make a DIY Toner to Fit Your Skin Care Needs,https://www.healthline.com/health/beauty-skin-care/diy-toner,4.5,en,scraped,face
r_acv_chamomile_toner,Apple Cider Vinegar & Chamomile Toner,acne;dullness;uneven_skin_tone,oily;combination,moderate,water;chamomile_tea;honey;apple_cider_vinegar,Brew 1 cup of chamomile tea and let it cool. Add 1 teaspoon of honey and 2 tablespoons of apple cider vinegar. Mix thoroughly and apply to the face using a cotton pad.,Perform a patch test before use. Avoid contact with eyes.,,13 Ways to Make a DIY Toner to Fit Your Skin Care Needs,https://www.healthline.com/health/beauty-skin-care/diy-toner,4.5,en,scraped,face
r_green_tea_tree_toner,Green Tea & Tea Tree Oil Toner,acne;redness;inflammation,oily;acne-prone,moderate,green_tea;tea_tree_essential_oil,Brew 1/3 cup of green tea and let it cool. Add 3–4 drops of tea tree essential oil. Shake well before each use and mist over your face.,Perform a patch test before use. Essential oils should be properly diluted to avoid skin irritation.,,13 Ways to Make a DIY Toner to Fit Your Skin Care Needs,https://www.healthline.com/health/beauty-skin-care/diy-toner,4.5,en,scraped,face
r_cucumber_witch_hazel_toner,Cucumber & Witch Hazel Toner,redness;irritation;overheating,sensitive;dry,mild,cucumber_water;witch_hazel,Combine 1 tablespoon of cucumber water with 1 tablespoon of alcohol-free witch hazel. Mix well and mist over your entire face.,Perform a patch test before use. Avoid contact with eyes.,,13 Ways to Make a DIY Toner to Fit Your Skin Care Needs,https://www.healthline.com/health/beauty-skin-care/diy-toner,4.5,en,scraped,face
r_green_tea_pomegranate_toner,Green Tea & Pomegranate Toner,aging;dullness,all,mild,green_tea;pomegranate_juice;filtered_water,Combine 1/4 cup of cooled green tea with 1/8 cup of pure pomegranate juice and 1/8 cup of filtered water. Mix thoroughly and store in a spray bottle. Refrigerate and use within 2 to 3 days.,Perform a patch test before use. Avoid contact with eyes.,,13 Ways to Make a DIY Toner to Fit Your Skin Care Needs,https://www.healthline.com/health/beauty-skin-care/diy-toner,4.5,en,scraped,face
r_cucumber_aloe_toner,Cucumber & Aloe Vera Toner,dryness;irritation,dry;sensitive,mild,cucumber;aloe_vera,Grate or blend 1 cucumber and mix with 3–4 tablespoons of fresh aloe vera gel. Blend until a watery consistency is achieved. Apply to the face using a cotton pad.,Perform a patch test before use. Store in the refrigerator and discard after 2 to 3 days.,,13 Ways to Make a DIY Toner to Fit Your Skin Care Needs,https://www.healthline.com/health/beauty-skin-care/diy-toner,4.5,en,scraped,face
r_jasmine_rice_water_toner,Jasmine Rice Water Toner,dullness;uneven_skin_tone,all,mild,jasmine_rice;water,Soak 3 tablespoons of jasmine rice in 1/4 cup of water for at least 2 hours or overnight. Strain the rice and use the water as a toner. Apply to the face using a cotton pad.,Perform a patch test before use. Store in the refrigerator and discard after 2 to 3 days.,,13 Ways to Make a DIY Toner to Fit Your Skin Care Needs,https://www.healthline.com/health/beauty-skin-care/diy-toner,4.5,en,scraped,face
r_acv_toner,Apple Cider Vinegar Toner,acne;scarring;uneven_skin_tone,oily;combination,moderate,apple_cider_vinegar;distilled_water,Mix 1 tablespoon of apple cider vinegar with 2 tablespoons of distilled water. Apply to the face using a cotton pad.,Perform a patch test before use. Avoid contact with eyes.,,13 Ways to Make a DIY Toner to Fit Your Skin Care Needs,https://www.healthline.com/health/beauty-skin-care/diy-toner,4.5,en,scraped,face
r_coconut_oil_lotion_bars,Coconut Oil Lotion Bars,dry skin;eczema,dry;sensitive,mild,coconut_oil;beeswax;essential_oils,Melt equal parts coconut oil and beeswax in a double boiler. Add a few drops of essential oil for fragrance. Pour into molds and let solidify.,Perform a patch test before use. Avoid contact with eyes.,,Coconut Oil Lotion Recipes for Healthier Skin,https://wellnessmama.com/beauty/coconut-oil-lotion-recipes/,4.5,en,scraped,body
r_multani_mitti_mask,Multani Mitti Face Mask,acne;oiliness,oily;combination,mild,multani_mitti;rose_water,"Mix 2 tablespoons of multani mitti with enough rose water to form a smooth paste. Apply to the face, avoiding the eye area. Leave on for 15-20 minutes, then rinse off with lukewarm water.",Perform a patch test before use. Avoid contact with eyes.,,"The Skin Benefits of Multani Mitti Clay, Plus 6 DIY Recipes",https://www.healthline.com/health/beauty-skin-care/multani-mitti-clay,4.5,en,scraped,face
r_turmeric_face_mask,Turmeric Face Mask,acne;inflammation;hyperpigmentation,all,mild,turmeric_powder;honey;plain_yogurt,"Combine 1 teaspoon turmeric powder with 1 tablespoon honey and 1 tablespoon plain yogurt to form a paste. Apply to the face, avoiding the eye area. Leave on for 10-15 minutes, then rinse off with warm water.",Perform a patch test before use. Turmeric may stain skin temporarily.,,Can DIY Turmeric Face Masks Benefit Your Skin?,https://www.healthline.com/health/beauty-skin-care/turmeric-face-mask,4.5,en,scraped,face
r_diy_rose_water,DIY Rose Water,dryness;redness,dry;sensitive,mild,fresh_rose_petals;distilled_water,Place fresh rose petals in a pot and cover with distilled water. Simmer on low heat until petals lose color. Strain the liquid and store in a glass bottle. Use as a toner or facial mist.,Ensure petals are pesticide-free. Store in the refrigerator and use within a week.,,"How to Make Your Own Rose Water for Beauty, Wellness, and Relaxation",https://www.healthline.com/health/beauty-skin-care/how-to-make-rose-water,4.5,en,scraped,face
